user_id,age,gender
0,50-up,female
1,50-up,female
2,0-19,female
3,50-up,female
4,0-19,male
5,0-19,female
6,0-19,undefined
7,50-up,female
8,50-up,male
9,0-19,male
10,50-up,female
11,20-49,female
12,50-up,female
13,0-19,female
14,50-up,male
15,50-up,male
16,50-up,male
17,0-19,male
18,0-19,undefined
19,20-49,female
20,50-up,male
21,0-19,female
22,50-up,female
23,50-up,male
24,0-19,male
25,50-up,male
26,0-19,female
27,50-up,male
28,0-19,male
29,50-up,female
30,50-up,undefined
31,50-up,undefined
32,0-19,male
33,50-up,female
34,50-up,male
35,0-19,male
36,0-19,male
37,50-up,male
38,20-49,male
39,20-49,undefined
40,50-up,female
41,50-up,male
42,0-19,undefined
43,0-19,male
44,50-up,male
45,20-49,male
46,20-49,female
47,20-49,female
48,0-19,male
49,0-19,male
50,0-19,male
51,0-19,male
52,20-49,female
53,0-19,undefined
54,50-up,undefined
55,50-up,undefined
56,50-up,undefined
57,50-up,female
58,20-49,female
59,50-up,undefined
60,20-49,female
61,20-49,undefined
62,20-49,undefined
63,0-19,female
64,50-up,female
65,50-up,female
66,50-up,undefined
67,50-up,female
68,50-up,undefined
69,50-up,male
70,0-19,female
71,0-19,undefined
72,50-up,male
73,0-19,female
74,0-19,undefined
75,0-19,female
76,50-up,male
77,0-19,male
78,50-up,male
79,0-19,female
80,0-19,female
81,20-49,male
82,0-19,male
83,50-up,female
84,50-up,male
85,0-19,female
86,0-19,male
87,0-19,male
88,0-19,undefined
89,0-19,male
90,0-19,male
91,0-19,male
92,50-up,female
93,0-19,female
94,0-19,female
95,0-19,female
96,20-49,male
97,0-19,male
98,0-19,male
99,0-19,female
100,50-up,female
101,20-49,undefined
102,20-49,male
103,0-19,female
104,20-49,male
105,0-19,male
106,20-49,male
107,50-up,male
108,0-19,female
109,20-49,female
110,0-19,female
111,0-19,female
112,0-19,male
113,0-19,male
114,0-19,female
115,0-19,male
116,0-19,female
117,0-19,male
118,20-49,male
119,20-49,male
120,50-up,male
121,20-49,female
122,50-up,male
123,0-19,female
124,50-up,female
125,0-19,female
126,50-up,undefined
127,20-49,male
128,50-up,female
129,0-19,female
130,0-19,undefined
131,50-up,male
132,0-19,male
133,20-49,undefined
134,50-up,female
135,50-up,undefined
136,0-19,male
137,0-19,male
138,0-19,undefined
139,50-up,female
140,0-19,female
141,0-19,male
142,20-49,female
143,50-up,female
144,50-up,male
145,20-49,male
146,0-19,male
147,0-19,female
148,50-up,male
149,0-19,female
